"section","metric","value","percentage"
"SUMMARY - interactions","Original records","5033","100%"
"SUMMARY - interactions","After cleaning","4740","94.18%"
"SUMMARY - interactions","Records removed","293","5.82%"
"---","---","---","---"
"SUMMARY - handling","Original records","3601","100%"
"SUMMARY - handling","After cleaning","3292","91.42%"
"SUMMARY - handling","Records removed","309","8.58%"
"---","---","---","---"
"FINAL DATASETS","interactions (full)","4740","For volume KPIs"
"FINAL DATASETS","interactions_complete (view)","3292","For performance KPIs"
"FINAL DATASETS","handling","3292","Matched with interactions"
